,Questions,Website,Comapny,Level,Category (9),is Response Generated,number of Responses Scraped
157, How would you be an asset to our organization?,https://www.indiabix.com/hr-interview/explain-how-would-be-an-asset-to-this-organization/,Infosys,Hard 1,,0,
158,Can you work under pressure?,,Infosys,Medium 2,,0,
159,Are you willing to relocate or travel?,,Infosys,Easy 1,,0,
160, How can you make sure that all the tasks are completed effectively?,,Infosys,Medium 3,,0,
161,Can you tell me what you think of your dream company?,,Infosys,Hard 1,,1,
162,According to you what is motivation?,https://www.indiabix.com/hr-interview/what-motivates-you-to-do-good-job/,Infosys,Hard 1,,1,
163,What is the ideal working environment according to you?,,Infosys,Medium 3,,1,
164,In a situation when you are working under a bad boss what will you do?,,Infosys,Hard 2,,1,
165,In a condition when the priorities of the projects are changed how will you manage those?,,Infosys,Medium 3,,1,
166,Describe a task that really tested your analytical abilities.,,JP Morgan,Hard 2,,0,
167,Tell me about a time when you had a positive impact on a project. How did you measure your success?,,JP Morgan,Medium 2,,0,
168,Tell me about a time when you were confused about details of a request. What steps did you take to clarify things?,,JP Morgan,Medium 2,,0,
169,How do you manage your schedule when you have multiple projects competing for your time?,,JP Morgan,Hard 1,,0,
170,Describe a time you had to work with a difficult person in your team.,,JP Morgan,Hard 2,,0,
171,"Tell me about a time a project didn't go according to plan, and what you did to get it back on track.",,JP Morgan,Medium 3,,0,
172,"Describe a time when you received constructive feedback, and how you responded.",,JP Morgan,Medium 3,,0,
173,How would you describe your management style?,,JP Morgan,Easy 3,,0,
174,Tell me about a time you had to deliver feedback to a member of your team?,,JP Morgan,Easy 3,,0,
175,How do you build relationships with team members outside of your immediate department?,,JP Morgan,Hard 2,,0,
176,"What classes, books, or other guidance have you used in your career to develop as a leader?",,JP Morgan,Hard 3,,0,
177,Tell me about a time you had an unpopular view on a team and you had to influence others to get their support.,,JP Morgan,Hard 3,,0,
178,How would you describe our business?,,JP Morgan,Easy 3,,0,
179,Can you describe any of the company's other business principles?,,JP Morgan,Medium 3,,0,
180,"If hired, how would you support our company's cultural value of diversity and inclusion?",,JP Morgan,Hard 2,,0,
181,Describe the behaviors you believe we expect of employees to meet our code of conduct and ethics.,,JP Morgan,Hard 1,,0,
182,What skills do you think are most important to work at Uber?,,Uber,Easy 3,,0,
183,How do you handle a project life cycle?,,Uber,Easy 2,,0,
184,Tell us three things you did not like about your last job.,,Uber,Medium 2,,0,
185,Walk us through a situation where you had to make a decision with limited information.,,Uber,Medium 1,,0,
186,Tell me about a time when you felt overwhelmed with office work.,,Uber,Medium 2,,0,
187,What will you do if you do not agree with a company policy or procedure and need to comply with it anyway?,,Uber,Hard 2,,0,
188,Tell me about a time when you had to motivate a coworker.,,Uber,Easy 3,,0,
189,Walk us through a situation where you used your communication skills to overcome an issue.,,Uber,Medium 2,,0,
190,What drew you to our company in the first place?,,Uber,Easy 3,,0,
191,What do you believe your pay will be?,,Uber,Medium 1,,0,
192,What would you do if a coworker constantly arrived late to a weekly meeting?,,Meta,Medium 2,,0,
193,"Friend requests are down 10%, what would you do?",,Meta,Hard 3,,0,
194,Describe a time when your project failed,,Meta,Medium 2,,0,
195,How do you earn the trust of your team members?,,Meta,Easy 3,,0,
196,Are you a goal-oriented person?,,Adobe,Easy 2,,0,
197,Tell me about some of your recent goals and what you did to achieve them.,,Adobe,Easy 2,,0,
198,Do you handle conflict well?,,Adobe,Medium 2,,0,
199,Tell us something about yourself that is not on your resume.,,Adobe,Easy 3,,0,
200,How familiar are you with the community that we're located in?,,Adobe,Medium 1,,0,
201,What changes would you make if you came on board,https://www.indiabix.com/hr-interview/what-changes-would-you-make-if-you-came-on-board/,,,,0,
202,What is the difference between hard work and smart work,https://www.indiabix.com/hr-interview/what-is-the-difference-between-hard-work-and-smart-work/,,,,0,
